en,es,fr,pt,de,ja,gap_score,cluster_id,is_representative,translatability
set,conjunto,mettre,conjunto,setzen,セット,0.18234162032604218,-1,True,easy
biggest,máximo,maximum,maior,grösste,最も,0.18304750323295593,-1,True,easy
chairman,presidente,président,presidente,präsident,社長,0.18372589349746704,-1,True,easy
frank,claro,clair,claro,frank,明らか,0.18395479023456573,-1,True,easy
along,junto,avec,junto,entlang,とともに,0.18409058451652527,-1,True,easy
file,documento,dossier,arquivos,bestand,ファイル,0.18449071049690247,-1,True,easy
matters,asuntos,choses,assuntos,probleme,もの,0.18466132879257202,85,True,easy
greatest,máximo,maximum,maior,beste,最も,0.1849251538515091,-1,True,easy
feet,pasos,pieds,pés,treten,足,0.18514008820056915,-1,True,easy
doubt,duda,doute,dúvida,zweifel,信じ,0.18523289263248444,-1,True,easy
director,director,directeur,diretor,chef,社長,0.18527497351169586,-1,True,easy
competition,competencia,compétition,competição,kämpfen,試合,0.18578091263771057,-1,True,easy
paul,pablo,paul,paul,paul,パ,0.18619495630264282,-1,True,easy
street,calles,rue,ruas,wege,街,0.1863786280155182,-1,True,easy
pressure,presión,pression,pressão,presse,力,0.1863791048526764,-1,True,easy
cases,casos,cas,casos,situation,場合,0.18657712638378143,-1,True,easy
capital,capital,capital,capital,main,資金,0.18695738911628723,-1,True,easy
space,espacio,espace,espaço,rum,宇宙,0.1869582086801529,-1,True,easy
collection,colección,collection,conjunto,auftrag,集め,0.18799853324890137,-1,True,easy
due,debido,dû,devido,aufgrund,ため,0.188292995095253,-1,True,easy
table,mesa,table,mesa,liste,表,0.18839938938617706,-1,True,easy
anymore,más,mais,mais,noch,もう,0.18850381672382355,-1,True,easy
medicine,medicina,médecin,medicina,legen,薬,0.18889427185058594,-1,True,easy
stage,etapa,stade,fase,schritt,ステージ,0.18897530436515808,-1,True,easy
dance,canción,danse,dança,spielen,ダンス,0.18984006345272064,-1,True,easy
sun,sol,soleil,sol,sonne,天,0.19041624665260315,-1,True,easy
source,fuente,source,fonte,original,オリジナル,0.19130690395832062,-1,True,easy
rose,rosa,rose,rosa,roten,赤,0.19216488301753998,-1,True,easy
introduced,presentó,présenté,apresenta,vorstellen,紹介,0.1926289200782776,-1,True,easy
away,lejos,partir,pois,weg,離れ,0.19326549768447876,-1,True,easy
housing,hogar,logement,casas,wohnung,居,0.19358095526695251,-1,True,easy
role,función,rôle,função,rolle,役,0.19463734328746796,-1,True,easy
theory,teoría,théorie,teoria,konzept,論,0.19466190040111542,-1,True,easy
tax,impuestos,charge,taxa,toll,税,0.19484208524227142,-1,True,easy
characters,personajes,personnages,personagens,zeichen,キャラ,0.19511623680591583,-1,True,easy
income,ingresos,revenus,ganha,verdienen,収入,0.19525648653507233,-1,True,easy
lucky,suerte,heureusement,sorte,glück,運,0.19566376507282257,-1,True,easy
rather,mejor,plutôt,mais,eher,より,0.19720882177352905,-1,True,easy
magazine,revista,journal,revista,zeitung,雑誌,0.19788840413093567,-1,True,easy
congress,congreso,congrès,congresso,union,大会,0.19805867969989777,-1,True,easy
letter,carta,lettre,carta,mail,書き,0.1995794028043747,-1,True,easy
net,siete,réseau,rede,nett,ネット,0.19968131184577942,-1,True,easy
honest,cierto,franchement,verdadeiro,ehrlich,正直,0.19989481568336487,-1,True,easy
score,punto,point,ponto,grade,ポイント,0.20005197823047638,-1,True,hard
shall,tendrá,doivent,devem,soll,する,0.20027689635753632,86,True,hard
blood,sangre,eau,sangue,verein,血,0.20064488053321838,-1,True,hard
partner,compañero,compagnie,parceria,partner,仲間,0.20072408020496368,-1,True,hard
sweet,dulce,sympa,doce,monate,かわいい,0.20117661356925964,-1,True,hard
campaign,campaña,campagne,campanha,werbung,作戦,0.2015661895275116,-1,True,hard
husband,esposa,homme,marido,mann,夫,0.20186208188533783,-1,True,hard
bag,bolsa,sac,caixa,sachen,ケース,0.2023143768310547,-1,True,hard
ready,listo,préparer,pronto,bereit,準備,0.2028094232082367,-1,True,hard
leader,líder,tête,líder,führen,頭,0.20315882563591003,64,True,hard
fans,seguidores,aimes,fãs,fans,ファン,0.20332367718219757,-1,True,hard
rare,raro,rare,pobre,selten,少ない,0.20368391275405884,-1,True,hard
strategy,estrategia,stratégie,política,politik,作戦,0.2044525295495987,-1,True,hard
award,premio,faveur,prêmio,ausgabe,賞,0.20455718040466309,-1,True,hard
council,consejo,conseil,conselho,kommission,委員,0.20501098036766052,-1,True,hard
advice,consejo,conseils,conselho,empfehlen,相談,0.2054729461669922,-1,True,hard
mean,significa,moyen,significa,bedeutet,意味,0.20632149279117584,-1,True,hard
wake,dormir,dormir,dormir,schlafen,起こし,0.20646998286247253,-1,True,hard
property,propiedad,propriété,propriedade,besitzt,本物,0.20672719180583954,-1,True,hard
press,prensa,presse,pressão,presse,ボタン,0.20696045458316803,-1,True,hard
gonna,hará,vais,dê,will,ます,0.20708566904067993,-1,True,hard
cat,perro,chien,garota,hund,猫,0.20725849270820618,-1,True,hard
approach,acceso,approche,acesso,erreichen,アクセス,0.2077600657939911,-1,True,hard
hey,hola,eh,oi,hey,ハイ,0.2096307873725891,-1,True,hard
classic,tradicional,classique,tradicional,tradition,旧,0.2106667309999466,-1,True,hard
chicago,york,york,york,york,東京,0.21108871698379517,-1,True,hard
corner,lado,côté,lado,buch,側,0.21127527952194214,19,True,hard
traffic,transporte,transport,transporte,bewegung,交通,0.21132966876029968,-1,True,hard
add,poner,ajouter,aumentar,hinzu,追加,0.21278809010982513,-1,True,hard
caused,causa,cause,causa,entstanden,発生,0.21296796202659607,-1,True,hard
michael,miguel,michael,michael,michael,マーク,0.2139434516429901,-1,True,hard
stopped,quedó,arrêté,parar,halt,停止,0.21403436362743378,-1,True,hard
secretary,secretario,secrétaire,secretário,büro,官,0.21412348747253418,-1,True,hard
captain,capitán,capitaine,capitão,präsident,社長,0.21413035690784454,-1,True,hard
blog,blog,post,blog,website,ブログ,0.21500247716903687,-1,True,hard
physical,física,physique,física,natur,身体,0.21600399911403656,-1,True,hard
minister,ministro,ministre,ministro,bürgermeister,官,0.21623341739177704,-1,True,hard
failure,error,défaut,falta,unfall,失敗,0.21724148094654083,-1,True,hard
term,término,terme,prazo,saison,期間,0.21752697229385376,-1,True,hard
fucking,mierda,fou,merda,verdammt,クソ,0.2175864279270172,48,True,hard
senior,mayores,supérieur,velho,alten,古い,0.21805423498153687,-1,True,hard
boss,jefe,maître,chefe,chef,社長,0.2181355357170105,-1,True,hard
fund,fondos,fonds,fundação,grundlage,資金,0.21827584505081177,18,True,hard
evidence,evidencia,preuve,provas,hinweis,証拠,0.2187858521938324,-1,True,hard
care,cuidado,soins,cuidar,behandlung,心配,0.21958203613758087,-1,True,hard
estate,propiedad,propriété,propriedade,wohnung,土地,0.2205982506275177,-1,True,hard
floor,suelo,terre,chão,land,階,0.22060738503932953,-1,True,hard
journal,diario,journal,revista,zeitung,誌,0.2207954078912735,-1,True,hard
enjoy,gusto,profiter,prazer,freuen,楽し,0.22198349237442017,-1,True,hard
channel,canal,canal,canal,szene,道,0.22237621247768402,-1,True,hard
machine,coche,machine,máquina,mach,機,0.22257934510707855,-1,True,hard
sent,entrega,sent,mandou,schicken,送っ,0.22266635298728943,-1,True,hard
miles,miles,kilomètres,mil,kilometer,mm,0.22269828617572784,-1,True,hard
units,unidad,unité,unidades,einzelne,装置,0.2228419929742813,-1,True,hard
board,mesa,bord,mesa,platz,板,0.22375932335853577,-1,True,hard
royal,reino,royaume,reino,reich,王,0.22377818822860718,-1,True,hard
awards,premio,faveur,prêmio,leistungen,賞,0.22378140687942505,-1,True,hard
damage,daño,dommage,perda,schade,破壊,0.223842591047287,-1,True,hard
tea,café,café,café,kaffee,杯,0.22387297451496124,-1,True,hard
profile,perfil,fiche,perfil,bestand,ファイル,0.22395311295986176,-1,True,hard
wide,larga,largement,grande,breite,大きい,0.2246105819940567,-1,True,hard
resources,recursos,ressources,recursos,material,資金,0.2250625491142273,-1,True,hard
cut,corte,section,corte,sag,割,0.22516293823719025,-1,True,hard
background,fondo,contexte,fundo,hintergrund,バック,0.22582606971263885,-1,True,hard
respect,respeto,respect,respeito,verhältnis,守る,0.22627943754196167,-1,True,hard
clothes,equipos,vêtements,roupas,damit,服,0.22716423869132996,-1,True,hard
fashion,moda,tendance,estilo,moderne,スタイル,0.22796794772148132,-1,True,hard
stress,presión,pression,pressão,eindruck,力,0.22810935974121094,-1,True,hard
queen,reina,prince,rainha,schwester,姫,0.22889995574951172,-1,True,hard
mountain,alta,sommet,monte,hoch,山,0.22940561175346375,-1,True,hard
kind,tipo,sympa,tipo,kind,っぽい,0.22942310571670532,-1,True,hard
sort,orden,sort,ordem,ordnung,セット,0.22945018112659454,-1,True,hard
orders,orden,ordre,ordem,beiträge,依頼,0.22988830506801605,-1,True,hard
close,cerca,près,fechar,schliessen,近い,0.22991147637367249,45,True,hard
sounds,sonido,voix,músicas,klingt,音,0.23110024631023407,-1,True,hard
train,tren,train,ônibus,wagen,電車,0.23180484771728516,-1,True,hard
prince,rey,prince,príncipe,herren,姫,0.231935054063797,-1,True,hard
king,rey,prince,rei,herren,王,0.2326718270778656,-1,True,hard
hate,odio,colère,raiva,lust,嫌い,0.23350122570991516,-1,True,hard
hurt,daño,pain,dor,verletzt,痛い,0.23378989100456238,-1,True,hard
hair,piel,cheveux,cabelo,bald,髪,0.23434321582317352,-1,True,hard
agent,agentes,agent,agente,mitarbeiter,代表,0.235918328166008,-1,True,hard
adult,mayores,âge,velho,alten,大人,0.23608136177062988,-1,True,hard
robert,alberto,robert,roberto,robert,ロボット,0.23654140532016754,-1,True,hard
ordered,pedido,ordre,pedido,angebot,依頼,0.23683765530586243,-1,True,hard
mary,maría,marie,maria,maria,ママ,0.23690271377563477,-1,True,hard
ride,marcha,voyage,andar,fahren,運転,0.2369433045387268,59,True,hard
injury,daño,dommage,acidente,schade,被害,0.23717087507247925,-1,True,hard
parliament,diputados,parlement,deputados,politiker,議員,0.2374374270439148,-1,True,hard
federal,federal,nationale,federal,bundesregierung,県,0.237885981798172,-1,True,hard
prepared,listo,préparer,feita,bereit,準備,0.23807238042354584,-1,True,hard
prison,prisión,prison,prisão,grenze,逮捕,0.2382071614265442,-1,True,hard
agency,agentes,agence,agência,firma,機関,0.23979763686656952,-1,True,hard
effective,funciona,efficace,efeito,wirkt,効果,0.24013526737689972,-1,True,hard
fit,correcto,match,conforme,passt,合わせ,0.24027226865291595,66,True,hard
wow,vaya,oh,vá,wow,よー,0.24243178963661194,-1,True,hard
officers,funcionarios,autorités,oficiais,soldaten,官,0.2425842583179474,-1,True,hard
proud,honor,honneur,orgulho,stolz,嬉しい,0.2428499013185501,-1,True,hard
port,puerto,port,porto,flughafen,駅,0.24355363845825195,-1,True,hard
officer,oficial,directeur,oficial,mitarbeiter,官,0.24424399435520172,-1,True,hard
secret,secreto,secret,saber,sache,秘密,0.24454501271247864,-1,True,hard
complex,conjunto,complexe,complexo,zusammenhang,一体,0.24491675198078156,-1,True,hard
alternative,opción,changer,opção,alternative,代わり,0.2462824434041977,-1,True,hard
review,opinión,revue,opinião,prüfung,検討,0.2464808076620102,-1,True,hard
financial,fiscal,économique,econômica,geld,経済,0.24649958312511444,-1,True,hard
wine,vino,vin,beber,bier,酒,0.24739514291286469,-1,True,hard
worry,cuidado,peur,cuidado,sorgen,心配,0.24783918261528015,-1,True,hard
cancer,cáncer,cancer,câncer,krank,病,0.24863167107105255,-1,True,hard
credit,crédito,crédit,conta,schuld,信用,0.24867404997348785,-1,True,hard
equipment,equipos,appareil,ferramentas,anlage,装置,0.24872426688671112,-1,True,hard
bar,banda,bar,banda,bin,バー,0.24928788840770721,-1,True,hard
climate,clima,environnement,clima,luft,雰囲気,0.24954938888549805,-1,True,hard
lee,lee,les,lei,liegt,レ,0.25062695145606995,-1,True,hard
metal,material,matière,material,material,機械,0.2516237199306488,-1,True,hard
governor,gobernador,seigneur,governador,bürgermeister,官,0.25180548429489136,-1,True,hard
bitch,perro,chien,merda,hund,猫,0.2519708573818207,-1,True,hard
skin,piel,peau,tela,gesicht,顔,0.252702921628952,-1,True,hard
weather,clima,temps,clima,wind,風,0.25309476256370544,-1,True,hard
i'd,quisiera,pourrais,gostaria,ich,i,0.25514575839042664,-1,True,hard
positive,buena,bonnes,tive,positiv,良,0.2552069425582886,-1,True,hard
push,presión,pression,pressão,presse,引き,0.25575318932533264,-1,True,hard
sources,fuentes,sources,fontes,links,ベース,0.25621554255485535,-1,True,hard
ed,edición,édition,edição,afd,編集,0.25642192363739014,-1,True,hard
involved,participar,concerne,participar,verbunden,参加,0.25684821605682373,50,True,hard
cup,copa,coupe,copa,seele,カップ,0.2573699653148651,-1,True,hard
focus,atención,attention,foco,zentrum,集中,0.2575329840183258,-1,True,hard
engineering,técnica,construction,técnica,technische,技術,0.2577977180480957,-1,True,hard
ball,dice,football,bola,ball,ボール,0.25790372490882874,-1,True,hard
flight,avión,avion,viagem,fliegen,鳥,0.25831377506256104,-1,True,hard
slow,rápido,retard,rápido,langsam,ゆっくり,0.2586103677749634,-1,True,hard
drug,drogas,médecin,drogas,legen,薬,0.25879475474357605,-1,True,hard
transfer,transporte,transport,transmissão,bewegen,派遣,0.2590484619140625,-1,True,hard
brown,red,bleu,negra,blau,黒,0.2594786286354065,1,True,hard
owner,propiedad,propriétaire,possui,besitzt,主,0.26071417331695557,-1,True,hard
benefit,beneficios,avantage,favor,vorteil,勝手,0.26108959317207336,-1,True,hard
useful,interesante,utile,interessante,handy,便利,0.26255151629447937,-1,True,hard
charge,carga,charge,pagar,toll,付,0.26268839836120605,-1,True,hard
advantage,beneficios,avantage,favor,vorteil,勝手,0.2641874849796295,-1,True,hard
limited,mínimo,limite,limites,grenzen,限定,0.2642996311187744,-1,True,hard
address,dirección,adresse,mail,mail,url,0.2646616995334625,-1,True,hard
episode,capítulo,épisode,episódio,prozess,部分,0.2657235562801361,-1,True,hard
skills,técnica,techniques,técnica,erfahrungen,能力,0.2659229636192322,-1,True,hard
welcome,saludos,accueil,parabéns,willkommen,迎え,0.2679167091846466,-1,True,hard
benefits,beneficios,avantage,favor,vorteil,権利,0.2702037990093231,-1,True,hard
compared,similar,match,conforme,vergleich,比べ,0.27038535475730896,-1,True,hard
challenge,cuestión,tenter,desafio,anspruch,挑戦,0.2705707848072052,-1,True,hard
fan,aire,vent,fãs,fans,ファン,0.2711631953716278,-1,True,hard
progress,desarrollo,avance,desenvolvimento,entwicklung,進め,0.27118220925331116,-1,True,hard
computer,internet,numérique,computador,computer,pc,0.2717527747154236,-1,True,hard
fix,resolver,rendez,resolver,lösen,修正,0.271798312664032,-1,True,hard
democratic,democracia,république,república,demokratie,主義,0.2719815671443939,-1,True,hard
break,partir,partir,parar,pause,切れ,0.2722514569759369,-1,True,hard
thomas,temas,thomas,tom,thomas,たま,0.2723207175731659,-1,True,hard
river,río,eaux,rio,regen,川,0.2729131579399109,-1,True,hard
drugs,drogas,médecin,drogas,alkohol,薬,0.2733730375766754,-1,True,hard
off,on,hors,pois,geschlossen,av,0.27356427907943726,-1,True,hard
rate,nivel,taux,taxa,grade,率,0.2756901979446411,26,True,hard
track,ruta,route,pista,folge,レース,0.27597182989120483,-1,True,hard
executive,ejecutivo,directeur,diretor,betrieb,官,0.2762700915336609,-1,True,hard
please,pedir,merci,obrigada,bitte,どうぞ,0.27635252475738525,-1,True,hard
hill,valle,sommet,monte,hoch,山,0.278117299079895,-1,True,hard
horse,ganado,cheval,carro,hund,馬,0.2794639468193054,-1,True,hard
peter,perú,paul,peter,peter,パ,0.2795202136039734,-1,True,hard
instead,cambiar,plutôt,entretanto,statt,代わり,0.2795248329639435,-1,True,hard
tom,toma,thomas,tom,thomas,ダム,0.2801399230957031,-1,True,hard
fuel,gas,gaz,gás,vater,エネルギー,0.28474828600883484,-1,True,hard
library,biblioteca,musée,livro,literatur,書,0.28539568185806274,-1,True,hard
fly,avión,avion,correr,fliegen,鳥,0.28673145174980164,-1,True,hard
removed,tomado,laissé,pois,entfernt,消し,0.28710851073265076,-1,True,hard
emergency,accidente,urgence,emergência,notwendig,急,0.28759729862213135,-1,True,hard
wild,animal,fera,animal,natur,獣,0.2888111472129822,-1,True,hard
bridge,puente,mur,ponte,fort,ビル,0.2909931242465973,-1,True,hard
audience,audiencia,publics,público,besucher,視聴,0.29270657896995544,-1,True,hard
flying,avión,avion,correr,fliegen,鳥,0.2938689887523651,-1,True,hard
mike,méxico,mec,michael,michael,マーク,0.29623207449913025,-1,True,hard
plane,planes,avion,plano,fliegen,船,0.29765188694000244,-1,True,hard
release,libertad,sortir,lançamento,lösen,リリース,0.2984701693058014,-1,True,hard
cross,cruz,croix,cruz,strecke,切れ,0.29863643646240234,-1,True,hard
waste,basura,perte,lixo,verlieren,無駄,0.29867255687713623,-1,True,hard
busy,lleno,chargé,cheio,beschäftigt,仕事,0.29898151755332947,-1,True,hard
touch,toca,touche,tocar,kontakt,感じる,0.2990497946739197,-1,True,hard
christmas,navidad,noël,santa,christian,冬,0.3001595437526703,-1,True,untranslatable
louis,luis,louis,luiz,lebens,左,0.3018774092197418,-1,True,untranslatable
hundred,ciento,cent,milhares,zehn,百,0.30377885699272156,21,True,untranslatable
literally,precisamente,franchement,diretamente,grundsätzlich,実際,0.3040718734264374,-1,True,untranslatable
lol,lo,rire,engraçado,lachen,笑,0.30503350496292114,-1,True,untranslatable
race,carrera,compétition,corrida,kaum,レース,0.30929842591285706,-1,True,untranslatable
cheap,económico,cher,econômica,leicht,安い,0.3114941716194153,-1,True,untranslatable
spread,distribución,distribution,distribuição,breite,展開,0.3126470148563385,-1,True,untranslatable
setting,régimen,disposition,colocar,gesetzt,設定,0.3136121332645416,-1,True,untranslatable
indian,india,intérieur,índia,italien,イン,0.3155578076839447,-1,True,untranslatable
martin,minuto,martin,maria,martin,マン,0.31596639752388,-1,True,untranslatable
india,india,italie,índia,internet,イン,0.3209606111049652,-1,True,untranslatable
mexico,méxico,québec,méxico,michael,米国,0.3238195776939392,-1,True,untranslatable
deep,serio,fond,ruim,tief,しっかり,0.32397034764289856,-1,True,untranslatable
henry,hayan,hein,harry,heinrich,ハイ,0.32597723603248596,-1,True,untranslatable
ring,cadena,pendant,torno,runde,巻,0.3261163830757141,-1,True,untranslatable
lie,vale,faux,vale,liess,詐欺,0.32806912064552307,-1,True,untranslatable
investment,inversión,intervention,capital,einführung,投資,0.3291097581386566,-1,True,untranslatable
christ,santa,saint,cristo,christian,神,0.3322748839855194,5,True,untranslatable
stock,bienes,réserve,reserva,lager,置い,0.3325650990009308,-1,True,untranslatable
coach,profesor,train,mestre,trainer,指導,0.33338525891304016,-1,True,untranslatable
budget,presupuesto,budget,econômica,plan,資金,0.33525511622428894,-1,True,untranslatable
leaves,letras,pages,folha,lässt,葉,0.3358815610408783,-1,True,untranslatable
balance,igualdad,égalité,igual,verhältnis,余裕,0.33687451481819153,-1,True,untranslatable
lake,río,lac,praia,laut,川,0.3371473252773285,-1,True,untranslatable
block,embargo,empêcher,fechar,halt,ブロック,0.3373579978942871,-1,True,untranslatable
click,golpe,touche,clique,knapp,ボタン,0.33768704533576965,-1,True,untranslatable
window,puerta,écran,porta,fenster,画面,0.3381126821041107,11,True,untranslatable
senate,sede,séance,senador,sitzen,議員,0.33850204944610596,-1,True,untranslatable
plant,planta,établissement,colocar,anlage,工場,0.34097132086753845,-1,True,untranslatable
flat,plata,surface,plano,platz,横,0.34884193539619446,-1,True,untranslatable
valley,valle,village,vale,tief,山,0.3510464131832123,-1,True,untranslatable
canada,india,canada,china,deutschland,韓国,0.36094582080841064,-1,True,untranslatable
host,hogar,patron,gosta,gäste,主,0.36230501532554626,-1,True,untranslatable
cell,celular,celle,celular,köln,脳,0.363543838262558,-1,True,untranslatable
richard,rey,robert,ricardo,robert,赤,0.3671005964279175,-1,True,untranslatable
australia,brasil,algérie,israel,ausland,アメリカ,0.3695864975452423,-1,True,untranslatable
pop,toca,poser,tocar,opfer,プレイ,0.37243911623954773,-1,True,untranslatable
harry,hayan,marie,harry,heinrich,ハイ,0.3738389015197754,-1,True,untranslatable
lies,tales,faux,las,liess,詐欺,0.3748970627784729,-1,True,untranslatable
bear,león,mets,leão,rat,獣,0.37546032667160034,-1,True,untranslatable
covered,lleno,compris,cobertura,geschlossen,付き,0.3770105242729187,-1,True,untranslatable
dry,dura,frais,cair,cool,クリア,0.39044255018234253,-1,True,untranslatable
magic,secreto,secret,medicina,sage,魔法,0.39192473888397217,-1,True,untranslatable
apple,alma,appel,alma,angebot,iphone,0.39287126064300537,-1,True,untranslatable
oil,gas,gaz,olá,vater,海,0.3957056701183319,-1,True,untranslatable
copy,copa,édition,copa,kopf,書き,0.3969336152076721,-1,True,untranslatable
smith,señor,thomas,senhor,meister,スマ,0.39957714080810547,-1,True,untranslatable
cover,superficie,protéger,cobertura,hat,ケース,0.40044641494750977,-1,True,untranslatable
texas,méxico,tes,méxico,tatsache,タイ,0.4125496447086334,-1,True,untranslatable
cells,centros,celle,unidades,mitglieder,脳,0.421516090631485,-1,True,untranslatable
scott,quede,piste,corte,strecke,スター,0.43022409081459045,-1,True,untranslatable
fat,ropa,gros,olá,bald,重,0.4400410056114197,-1,True,untranslatable
william,villa,vin,vim,wm,王,0.44336795806884766,-1,True,untranslatable
